continent,location,total_cases,new_cases,total_deaths,total_tests,positive_rate,people_fully_vaccinated,population
Asia,Afghanistan,177093,54,7654,,,4402868,39835428
,Africa,11460017,1383,251180,,,204116305,1373486472
Europe,Albania,273088,48,3487,1595977,0.1,1209791,2872934
Africa,Algeria,265550,11,6871,230553,,6110712,44616626
Europe,Andorra,39234,440,153,,,,77354
Africa,Angola,99003,0,1900,1460619,0.005,5699666,33933611
North America,Anguilla,2595,0,9,,,9603,15125
North America,Antigua and Barbuda,7473,0,135,,,61550,98728
South America,Argentina,9007753,1227,127494,34718663,0.052,36515407,45605823
Asia,Armenia,422307,21,8595,2937565,0.035,,2968128
North America,Aruba,33843,0,212,,,80770,107195
,Asia,132993357,523980,1389465,,,3095373357,4678444992
Oceania,Australia,3943368,43230,5736,64710352,0.361,20952845,25788217
Europe,Austria,3466203,37192,15409,166723590,0.076,6586015,9043072
Asia,Azerbaijan,791482,78,9656,6635319,0.045,4814484,10223344
North America,Bahamas,33221,10,787,224033,0.017,155555,396914
Asia,Bahrain,544851,1016,1465,9503419,0.2,1215156,1748295
Asia,Bangladesh,1950609,82,29117,13652759,0.019,91743096,166303494
North America,Barbados,57733,73,329,597763,0.144,150645,287708
Europe,Belarus,951081,1087,6722,12646405,0.117,,9442867
Europe,Belgium,3707561,11502,30529,32110333,0.24,9119758,11632334
North America,Belize,57143,0,654,510065,0.028,208577,404915
Africa,Benin,26952,377,163,,,2214327,12451031
North America,Bermuda,12094,105,126,,,46439,62092
Asia,Bhutan,22004,344,9,,,577321,779900
South America,Bolivia,899697,173,21482,3915409,0.052,5694373,11832936
North America,Bonaire Sint Eustatius and Saba,7739,0,31,,,,26445
Europe,Bosnia and Herzegovina,373985,186,15664,,,,3263459
Africa,Botswana,263950,0,2619,2208626,0,1263041,2397240
South America,Brazil,29637814,13379,657495,70923215,,158863543,213993441
North America,British Virgin Islands,6104,0,62,,,17459,30423
Asia,Brunei,124716,1294,189,,,404788,441532
Europe,Bulgaria,1124186,472,36282,9367761,0.116,2056814,6896655
Africa,Burkina Faso,20813,0,379,324773,0,1175380,21497097
Africa,Burundi,38308,0,38,1428892,0.006,9827,12255429
Asia,Cambodia,134986,97,3051,2898913,0.073,13892556,16946446
Africa,Cameroon,119544,130,1927,2507964,,813530,27224262
North America,Canada,3404964,2253,37215,58730234,0.131,31039461,38067913
Africa,Cape Verde,55925,0,401,,,305890,561901
North America,Cayman Islands,20336,263,23,,,59726,66498
Africa,Central African Republic,14649,329,113,,,824469,4919987
Africa,Chad,7269,0,190,202215,0.009,152238,16914985
South America,Chile,3392978,11297,44518,33920113,0.193,17283367,19212362
Asia,China,130684,485,4638,,,1239171000,1444216102
South America,Colombia,6081131,542,139452,33454880,0.034,34327440,51265841
Africa,Comoros,8076,0,160,6227,,,888456
Africa,Congo,24059,0,383,,,640017,5657017
Oceania,Cook Islands,743,0,,,,14241,17572
North America,Costa Rica,829400,958,8226,,,3892636,5139053
Africa,Cote d'Ivoire,81655,0,796,1441966,0.003,4220241,27053629
Europe,Croatia,1084012,901,15435,4585240,0.262,2235641,4081657
North America,Cuba,1081472,786,8506,,,9902342,11317498
North America,Curacao,39853,293,265,,,98407,164796
Europe,Cyprus,377356,3698,919,26858601,0.033,,896005
Europe,Czechia,3737891,4792,39359,52170155,0.243,6855011,10724553
Africa,Democratic Republic of Congo,86461,0,1335,,,,92377986
Europe,Denmark,3004907,4984,5402,63436215,0.26,4736649,5813302
Africa,Djibouti,15573,0,189,289377,0.005,103693,1002197
North America,Dominica,11724,0,62,,,29826,72172
North America,Dominican Republic,577317,0,4375,3174924,0.028,5898219,10953714
South America,Ecuador,853850,4151,35410,2579024,0.264,13682255,17888474
Africa,Egypt,495373,0,24277,6002912,,31254429,104258327
North America,El Salvador,161052,110,4109,,,4275527,6518500
Africa,Equatorial Guinea,15899,0,183,467504,0.003,,1449891
Africa,Eritrea,9723,0,103,23693,,,3601462
Europe,Estonia,542386,835,2392,3193072,0.443,842057,1325188
Africa,Eswatini,69552,4,1392,501428,,336066,1172369
Africa,Ethiopia,469455,14,7489,4559980,0.007,20904654,117876226
,Europe,171892361,392063,1753751,,,487202901,748962983
,European Union,119567488,357156,1036155,,,326192092,447189915
Europe,Faeroe Islands,34658,0,28,,,,49053
South America,Falkland Islands,119,0,,,,,3528
Oceania,Fiji,64221,0,834,502418,,624416,902899
Europe,Finland,786312,3400,2783,10136338,0.567,4287316,5548361
Europe,France,24189928,81283,141002,250895844,0.228,52431847,67422000
Oceania,French Polynesia,71243,417,645,,,180807,282534
Africa,Gabon,47570,0,303,1580654,0.002,,2278829
Africa,Gambia,11978,0,365,154873,0.002,318161,2486937
Asia,Georgia,1641874,475,16663,13538604,0.278,1253736,3979773
Europe,Germany,18809998,92316,126933,,,63043035,83900471
Africa,Ghana,160819,28,1445,2365638,0.02,,31732128
Europe,Gibraltar,16253,105,101,521394,0.084,41101,33691
Europe,Greece,2788654,12462,26937,69271836,0.079,7580525,10370747
North America,Greenland,11926,0,20,,,38502,56868
North America,Grenada,13936,0,217,,,37825,113015
North America,Guatemala,816136,360,17238,4067775,0.191,5840510,18249868
Europe,Guernsey,,,,,,,63385
Africa,Guinea,36435,0,440,663832,,2467847,13497237
Africa,Guinea-Bissau,8113,0,169,125580,,341270,2015490
South America,Guyana,63194,11,1226,,,359317,790329
North America,Haiti,30478,0,827,182702,0.048,108801,11541683
,High income,258372770,722989,2266661,,,895604012,1214930230
North America,Honduras,418300,1099,10857,,,4654100,10062994
Asia,Hong Kong,1047690,14149,5896,,,5411002,7552800
Europe,Hungary,1824089,3322,44961,10470722,0.169,6183247,9634162
Europe,Iceland,170806,1548,91,1238691,,289886,368792
Asia,India,43009390,1549,516510,779052383,0.004,819491293,1393409033
